id,trialNum,time,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,condition,robotCondition,success,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,view_history,stimulus,trial,salLabel,promptLabel,imgNum,buttonOrder,sal,buttonPaths,responseCompare,labelCompare
29,0,1657293679472,1364,625,TRUE,chrome,103.0.5060,FALSE,Windows 10,TRUE,60.18,FALSE,FALSE,browser-check,0,1015,0.0-0.0,1,opp,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,1364,625,TRUE,chrome,103.0.5060,FALSE,Windows 10,TRUE,59.94,FALSE,FALSE,browser-check,1,2021,0.0-1.0,1,opp,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,preload,2,8125,0.0-2.0,1,opp,TRUE,FALSE,,,,NA,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,survey-multi-choice,3,13191,0.0-3.0,1,opp,NA,NA,,,,5064,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,survey-text,4,16000,0.0-4.0,1,opp,NA,NA,,,,2803,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,instructions,5,76653,0.0-5.0,1,opp,NA,NA,,,,60653,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,6,85653,0.0-6.0-0.0-0.0,1,opp,NA,NA,,,,8997,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_2.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",practice,safe,toxic,2,,/static/stimuli/ax_sal_2.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,7,91645,0.0-6.0-0.0-0.1,1,opp,NA,NA,,,,5991,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_3.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",practice,toxic,safe,3,,/static/stimuli/ax_sal_3.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,8,93613,0.0-6.0-0.0-0.2,1,opp,NA,NA,,,,1966,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_4.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",practice,safe,toxic,4,,/static/stimuli/ax_sal_4.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,instructions,9,95212,0.0-6.0-1.0,1,opp,NA,NA,,,,1599,,,,NA,NA,NA,NA,NA,,NA,,NA,NA
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,10,96763,0.0-7.0-0.0,1,opp,NA,NA,,,,1550,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_49.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",results,safe,toxic,49,,/static/stimuli/ax_sal_49.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,11,99117,0.0-7.0-0.1,1,opp,NA,NA,,,,2351,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_13.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",results,safe,toxic,13,,/static/stimuli/ax_sal_13.svg,,opp,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,12,100716,0.0-7.0-0.2,1,opp,NA,NA,,,,1598,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_28.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,28,,/static/stimuli/ax_sal_28.svg,,opp,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,13,104213,0.0-7.0-0.3,1,opp,NA,NA,,,,3496,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_21.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,21,,/static/stimuli/ax_sal_21.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,14,106828,0.0-7.0-0.4,1,opp,NA,NA,,,,2612,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_18.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,18,,/static/stimuli/ax_sal_18.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,15,109356,0.0-7.0-0.5,1,opp,NA,NA,,,,2528,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_24.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,24,,/static/stimuli/ax_sal_24.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,16,111373,0.0-7.0-0.6,1,opp,NA,NA,,,,2015,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_37.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,37,,/static/stimuli/ax_sal_37.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,17,112876,0.0-7.0-0.7,1,opp,NA,NA,,,,1502,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_30.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,30,,/static/stimuli/ax_sal_30.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,18,114372,0.0-7.0-0.8,1,opp,NA,NA,,,,1495,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_36.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,36,,/static/stimuli/ax_sal_36.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,19,116396,0.0-7.0-0.9,1,opp,NA,NA,,,,2023,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_35.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",results,safe,toxic,35,,/static/stimuli/ax_sal_35.svg,,same,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,20,118292,0.0-7.0-0.10,1,opp,NA,NA,,,,1895,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_45.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",results,safe,toxic,45,,/static/stimuli/ax_sal_45.svg,,opp,opp
29,0,1657293679472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,html-button-response,21,119556,0.0-7.0-0.11,1,opp,NA,NA,,,,1262,,,,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_25.svg></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",results,toxic,safe,25,,/static/stimuli/ax_sal_25.svg,,same,opp
